predictor_set,repeat,fold,validation_participants,macro_f1,balanced_accuracy,macro_pr_auc,ELEVATED_FASTING_RANGE_sensitivity,ELEVATED_FASTING_RANGE_specificity,ELEVATED_FASTING_RANGE_pr_auc,ELEVATED_FASTING_RANGE_f1,NORMAL_RANGE_sensitivity,NORMAL_RANGE_specificity,NORMAL_RANGE_pr_auc,NORMAL_RANGE_f1
context_only,1,1,35,0.6812386156648451,0.6428571428571428,0.7975475525943505,0.2857142857142857,1.0,0.647142857142857,0.4444444444444444,1.0,0.2857142857142857,0.947952248045844,0.9180327868852459
context_only,1,2,35,0.4166666666666667,0.46296296296296297,0.6373410799973407,0.0,0.9259259259259259,0.35803173542144134,0.0,0.9259259259259259,0.0,0.9166504245732401,0.8333333333333334
context_only,1,3,35,0.5537340619307832,0.5625,0.7724687909440328,0.125,1.0,0.621875,0.2222222222222222,1.0,0.125,0.9230625818880656,0.8852459016393442
context_only,1,4,34,0.423728813559322,0.46296296296296297,0.6967029258808021,0.0,0.9259259259259259,0.4390956382553021,0.0,0.9259259259259259,0.0,0.954310213506302,0.847457627118644
context_only,1,5,34,0.43333333333333335,0.48148148148148145,0.7067928289817759,0.0,0.9629629629629629,0.4663832199546485,0.0,0.9629629629629629,0.0,0.9472024380089032,0.8666666666666667
context_only,2,1,35,0.6812386156648451,0.6428571428571428,0.837876078028827,0.2857142857142857,1.0,0.7013819513819513,0.4444444444444444,1.0,0.2857142857142857,0.9743702046757027,0.9180327868852459
context_only,2,2,35,0.514637904468413,0.525462962962963,0.7784092000964262,0.125,0.9259259259259259,0.5930826118326118,0.18181818181818182,0.9259259259259259,0.125,0.9637357883602407,0.847457627118644
context_only,2,3,35,0.5333333333333333,0.5439814814814814,0.6947508970943526,0.125,0.9629629629629629,0.4955892079053844,0.2,0.9629629629629629,0.125,0.8939125862833208,0.8666666666666667
context_only,2,4,34,0.4426229508196721,0.5,0.7312436051808789,0.0,1.0,0.5139661925376211,0.0,1.0,0.0,0.9485210178241368,0.8852459016393442
context_only,2,5,34,0.5310344827586206,0.5343915343915344,0.6322394448123472,0.14285714285714285,0.9259259259259259,0.35016531087959657,0.2,0.9259259259259259,0.14285714285714285,0.9143135787450978,0.8620689655172413
context_only,3,1,35,0.4262295081967213,0.4642857142857143,0.5909479930266606,0.0,0.9285714285714286,0.2881673881673882,0.0,0.9285714285714286,0.0,0.893728597885933,0.8524590163934426
context_only,3,2,35,0.5333333333333333,0.5439814814814814,0.6688024894922227,0.125,0.9629629629629629,0.404650098675834,0.2,0.9629629629629629,0.125,0.9329548803086114,0.8666666666666667
context_only,3,3,35,0.5537340619307832,0.5625,0.7787579033641943,0.125,1.0,0.6230051929065087,0.2222222222222222,1.0,0.125,0.9345106138218797,0.8852459016393442
context_only,3,4,34,0.551789077212806,0.5529100529100529,0.756275898524945,0.14285714285714285,0.9629629629629629,0.5761857190428619,0.2222222222222222,0.9629629629629629,0.14285714285714285,0.9363660780070282,0.8813559322033898
context_only,3,5,34,0.5310344827586206,0.5343915343915344,0.7180147433016795,0.14285714285714285,0.9259259259259259,0.4912698412698413,0.2,0.9259259259259259,0.14285714285714285,0.9447596453335176,0.8620689655172413
context_only,4,1,35,0.514637904468413,0.5178571428571429,0.5710927781598701,0.14285714285714285,0.8928571428571429,0.26644882894882893,0.18181818181818182,0.8928571428571429,0.14285714285714285,0.8757367273709113,0.847457627118644
context_only,4,2,35,0.5537340619307832,0.5625,0.7398688536254505,0.125,1.0,0.5490303201700261,0.2222222222222222,1.0,0.125,0.9307073870808751,0.8852459016393442
context_only,4,3,35,0.5537340619307832,0.5625,0.7664079278184817,0.125,1.0,0.5920612373737374,0.2222222222222222,1.0,0.125,0.9407546182632258,0.8852459016393442
context_only,4,4,34,0.575,0.5714285714285714,0.7948126186845275,0.14285714285714285,1.0,0.6420222634508349,0.25,1.0,0.14285714285714285,0.9476029739182199,0.9
context_only,4,5,34,0.5952380952380952,0.5873015873015872,0.6811737790616648,0.2857142857142857,0.8888888888888888,0.4106139891854178,0.3333333333333333,0.8888888888888888,0.2857142857142857,0.9517335689379118,0.8571428571428571
context_only,5,1,35,0.5977011494252873,0.5892857142857143,0.7241846418367598,0.2857142857142857,0.8928571428571429,0.49948221712927593,0.3333333333333333,0.8928571428571429,0.2857142857142857,0.9488870665442436,0.8620689655172413
context_only,5,2,35,0.5537340619307832,0.5625,0.8979477838988708,0.125,1.0,0.814781746031746,0.2222222222222222,1.0,0.125,0.9811138217659956,0.8852459016393442
context_only,5,3,35,0.5977011494252873,0.587962962962963,0.6642365988585524,0.25,0.9259259259259259,0.4226280255692021,0.3333333333333333,0.9259259259259259,0.25,0.9058451721479026,0.8620689655172413
context_only,5,4,34,0.4426229508196721,0.5,0.6721603026891212,0.0,1.0,0.4219727891156463,0.0,1.0,0.0,0.922347816262596,0.8852459016393442
context_only,5,5,34,0.494047619047619,0.4973544973544973,0.6052058241831223,0.14285714285714285,0.8518518518518519,0.29938945275079726,0.16666666666666666,0.8518518518518519,0.14285714285714285,0.9110221956154474,0.8214285714285714
context_only,6,1,35,0.5766129032258065,0.5714285714285714,0.8412256943402661,0.14285714285714285,1.0,0.7049062049062049,0.25,1.0,0.14285714285714285,0.9775451837743272,0.9032258064516129
