permutation,context_only_macro_f1,context_only_balanced_accuracy,context_only_macro_pr_auc,ppg_plus_context_macro_f1,ppg_plus_context_balanced_accuracy,ppg_plus_context_macro_pr_auc,macro_f1_delta,balanced_accuracy_delta,macro_pr_auc_delta
95,0.4401294498381877,0.5,0.5334339784885282,0.47247632803723316,0.4756558028616852,0.5053297648745194,0.03234687819904547,-0.024344197138314816,-0.028104213614008833
96,0.4401294498381877,0.5,0.47263974937984743,0.42750574906051936,0.43879173290937995,0.4754377087585751,-0.012623700777668334,-0.06120826709062005,0.002797959378727677
97,0.4401294498381877,0.5,0.48547843429798765,0.5319264069264069,0.530902225755167,0.5350792916454561,0.09179695708821922,0.03090222575516699,0.04960085734746844
98,0.4401294498381877,0.5,0.46949024207264717,0.5028735632183908,0.5087440381558028,0.49397409154627603,0.06274411338020314,0.008744038155802825,0.02448384947362886
99,0.4401294498381877,0.5,0.5154585830503551,0.47894643595346365,0.4878775834658188,0.4525783029729705,0.03881698611527595,-0.012122416534181224,-0.06288028007738455
100,0.4401294498381877,0.5,0.5790220410031374,0.5439452577261765,0.5419316375198728,0.5524842726099153,0.10381580788798883,0.04193163751987283,-0.026537768393222083
101,0.4401294498381877,0.5,0.5433157953990589,0.4857255033933479,0.4903616852146264,0.5062367460328485,0.04559605355516022,-0.00963831478537358,-0.037079049366210426
102,0.4401294498381877,0.5,0.4889451328300501,0.5362470862470863,0.5357710651828299,0.5646352952033986,0.09611763640889859,0.03577106518282991,0.07569016237334852
103,0.4401294498381877,0.5,0.5202450864553343,0.5312807881773399,0.5332869634340223,0.5600726010741781,0.09115133833915223,0.033286963434022265,0.03982751461884382
104,0.4401294498381877,0.5,0.44841957626220924,0.5235871647509579,0.5259340222575517,0.5444184558774874,0.08345771491277021,0.025934022257551703,0.09599887961527814
105,0.4383116883116883,0.4963235294117647,0.54261006454339,0.5087460245343026,0.5112281399046106,0.5618761492608807,0.0704343362226143,0.01490461049284586,0.019266084717490695
106,0.4401294498381877,0.5,0.46954829218432736,0.4980016424856283,0.5001987281399046,0.4786564087112059,0.05787219264744059,0.0001987281399046248,0.00910811652687854
107,0.4401294498381877,0.5,0.5158093688871523,0.509975369458128,0.5160969793322735,0.4765289506612633,0.06984591961994036,0.016096979332273498,-0.03928041822588907
108,0.4401294498381877,0.5,0.5197150922443449,0.45396672551222383,0.4584658187599364,0.4695675238606283,0.013837275674036142,-0.041534181240063583,-0.05014756838371659
109,0.4401294498381877,0.5,0.4899388580153854,0.47894643595346365,0.4878775834658188,0.5285496425325444,0.03881698611527595,-0.012122416534181224,0.03861078451715905
110,0.4401294498381877,0.5,0.4935278832532106,0.4857255033933479,0.4903616852146264,0.502956653960509,0.04559605355516022,-0.00963831478537358,0.009428770707298417
111,0.4401294498381877,0.5,0.45403511067866886,0.47894643595346365,0.4878775834658188,0.4800947237533494,0.03881698611527595,-0.012122416534181224,0.02605961307468052
112,0.4383116883116883,0.4963235294117647,0.5032943781074374,0.4098440545808967,0.40818759936407,0.4658177588495467,-0.02846763373079164,-0.08813593004769471,-0.0374766192578907
113,0.4401294498381877,0.5,0.4764952691783034,0.4614463601532567,0.4743640699523053,0.4712636319432288,0.021316910315068993,-0.02563593004769471,-0.005231637235074638
114,0.4401294498381877,0.5,0.49521648805350993,0.5028735632183908,0.5087440381558028,0.5320740487794801,0.06274411338020314,0.008744038155802825,0.03685756072597013
115,0.4678742310321258,0.5135135135135135,0.5475024875727927,0.49098593056224255,0.492845786963434,0.4547577957706363,0.02311169953011677,-0.02066772655007948,-0.09274469180215644
116,0.4401294498381877,0.5,0.4701841644522549,0.5015514184397163,0.5038751987281399,0.478063011556359,0.0614219686015286,0.003875198728139906,0.00787884710410408
117,0.43278688524590164,0.4852941176470588,0.5865724233404669,0.4993799090533278,0.5050675675675675,0.5137758139021683,0.06659302380742615,0.019773449920508723,-0.07279660943829858
118,0.4383116883116883,0.4963235294117647,0.5701410685260189,0.4663189186157384,0.4731717011128776,0.46040849674260076,0.028007230304050057,-0.023151828298887123,-0.10973257178341811
119,0.4401294498381877,0.5,0.49742138207135633,0.4854003520913009,0.49523052464228934,0.5190043744928265,0.0452709022531132,-0.004769475357710662,0.021582992421470215
120,0.4401294498381877,0.5,0.4591587311851716,0.4354312354312354,0.44982114467408585,0.48091218547204245,-0.0046982144069522835,-0.05017885532591415,0.021753454286870866
121,0.4401294498381877,0.5,0.48583033933099495,0.5352077475788816,0.5369634340222575,0.5198565873082084,0.09507829774069387,0.036963434022257546,0.03402624797721343
122,0.4401294498381877,0.5,0.5059060729232803,0.494955185659411,0.4953298887122417,0.5501213730033763,0.0548257358212233,-0.004670111287758294,0.044215300080096
123,0.4401294498381877,0.5,0.5536023080601081,0.44979554747841893,0.45965818759936405,0.49359565574431963,0.009666097640231242,-0.040341812400635946,-0.0600066523157885
124,0.4401294498381877,0.5,0.5040199263051215,0.4980016424856283,0.5001987281399046,0.5264814216473769,0.05787219264744059,0.0001987281399046248,0.02246149534225539
125,0.4401294498381877,0.5,0.5427904566031689,0.5235871647509579,0.5259340222575517,0.564697518200698,0.08345771491277021,0.025934022257551703,0.021907061597529087
126,0.4401294498381877,0.5,0.4946956439614042,0.5015514184397163,0.5038751987281399,0.5555422278598742,0.0614219686015286,0.003875198728139906,0.060846583898469975
127,0.4401294498381877,0.5,0.49208185468540383,0.3960008463817182,0.4032193958664547,0.49565784023288756,-0.04412860345646952,-0.09678060413354528,0.0035759855474837288
128,0.4401294498381877,0.5,0.49395180713813425,0.5480463425715584,0.5456081081081081,0.5363257487954378,0.10791689273337068,0.045608108108108114,0.04237394165730357
